SYMBOL,gene_labels
AHNAK,1;124;172;196;263;283;335;336;339;404;505;509;568;641;694;787;794;798;825;847;939;947;1005;1019;1029;1046;1154;1187;1321;1347;1370;1386;1388;1407;1480;1514;1605;1716;1751;1783;1794;1825;1930;1932;1993;2015;2022;2063;2306;2343;2383;2483;2555;2570;2591;2594;2696;2699;2759;2763;2832;2833;2931;3179;3206;3379;3407;3441
ALCAM,1;24;29;162;166;245;250;286;288;332;351;396;416;521;553;562;669;690;692;694;720;722;751;762;771;852;876;944;1001;1005;1016;1149;1152;1173;1270;1272;1321;1323;1404;1406;1440;1470;1514;1524;1529;1530;1547;1570;1627;1661;1673;1706;1713;1759;1794;1795;1908;1918;1928;2097;2322;2324;2426;2433;2546;2573;2595;2615;2763;2769;2782;2805;2849;2915;3070;3150;3202;3229;3240;3270;3271;3325;3332;3339;3340;3364;3388;3494;3528
ANKRD40,1;32;309;831;1022;1243;1616;2111;2270;2485;2565;2931;3426
ARID1A,1;167;200;335;352;376;747;925;1069;1406;1413;1421;1514;1615;1893;2076;2306;2346;2485;2490;2494;2498;2922;3033;3470;5037;5456;5464;5468;6053;6187;6281;6311
BCKDHB,1;148;306;357;536;546;572;674;720;983;1111;1324;1531;1605;1607;1611;1728;2147;2307;2487;2599;2600;3069;3413;5076;5077;5300;5745
C16orf89,1;360;497;927;1441;1627;2060;2932;3143;3425
CAPN9,1;445;562;791;1016;1354;1901;2670;2766;2848;3141;3555
CD24,1;33;66;93;120;132;143;159;259;323;396;415;438;443;462;487;494;535;546;715;720;789;847;858;882;948;1005;1088;1089;1112;1149;1181;1218;1248;1347;1375;1383;1395;1500;1540;1621;1640;1642;1644;1678;1709;1753;1776;1780;1805;1806;1850;1898;1966;1993;2015;2079;2080;2305;2348;2375;2383;2385;2389;2442;2460;2532;2578;2596;2608;2623;2635;2698;2751;2805;2940;2942;2948;2957;2958;3041;3190;3192;3201;3231;3244;3296;3348;3428;3458;3485;3512;5278;5279;5280
CYFIP1,1;946;947;1005;1067;1238;1293;1375;1470;1597;2430;2448;2495;2554;2601;2782;2957;3103;3114;6116;6117;6118;6257;6273
DCAF11,1;148;234;338;847;1241;1390;1514;1899;2481;2494;3107
DDC,1;210;211;214;216;228;300;339;431;595;675;694;822;1113;1291;1359;1568;1672;1997;2249;2316;2442;2591;2608;2670;2770;2772;2808;2863;2893;2999;3431;3442;5766;6369
EFNA2,1;236;341;1076;1119;1181;1413;1901;2021;2051;2409;3144;3555;5372;5375
ENPP2,1;36;83;151;254;264;322;346;564;582;641;668;670;674;821;822;875;927;1001;1105;1109;1125;1149;1150;1151;1152;1223;1293;1335;1347;1456;1498;1525;1627;1680;1687;1704;1710;1838;1922;1930;2088;2100;2102;2223;2288;2335;2336;2337;2359;2389;2413;2430;2498;2596;2608;2636;2733;2763;2769;2805;2842;2846;2896;2931;2949;2994;3112;3143;3149;3229;3270;3321;3335;3410;3411;3520;3521;3542;6724
FOXA2,1;153;204;234;311;338;414;841;843;1011;1103;1106;1522;1545;1901;2012;2021;2056;2460;2480;2487;2499;2718;2798;2958;3219;3426;3532;5283;5284;5285;5450;5451;6053;6143;6164
GRIA2,1;153;483;558;1001;1072;1334;1363;1440;1464;1673;1985;2051;2056;2095;2140;2452;2519;2576;2844;3059;3150;3325;3430;3441;5726;5757;6632;6633;6703
HK2,1;72;122;131;178;180;195;229;345;348;356;364;366;411;445;494;546;668;674;712;738;747;748;895;1058;1114;1258;1350;1386;1442;1548;1552;1566;1626;1665;1767;1783;1826;1962;2015;2029;2237;2305;2307;2321;2338;2399;2400;2443;2446;2499;2507;2594;2630;2633;2638;2641;2643;2725;2756;2786;2861;2932;3116;3169;3174;3230;3266;3335;3427;3483
HOXC9,1;41;224;712;1281;1901;2050;2051;2062;2399;2583;2808;3217;3555
ITGA6,1;41;58;184;200;246;284;318;326;357;376;396;412;444;500;502;509;554;641;685;718;779;822;832;947;967;1016;1029;1059;1085;1097;1105;1111;1149;1150;1271;1329;1334;1355;1383;1396;1503;1522;1710;2221;2338;2510;2520;2572;2664;2749;2758;2760;2762;2764;2781;2807;2832;2833;2847;2908;2955;3034;3096;3127;3190;3260;3266;3324;3376;3379;3458;3467;3474;3500;3504;3507;5049;5278;5279;5280;5281;5282;5287;5711;6524;6695
